"Step","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/saw/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/sin/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/square/train","Jul31-1847_Flowavenet_toy_time_rand_ampl - log_p/triangle/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/saw/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/sin/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/square/train","Jul28-1121_Flowavenet_toy_no_noise_time_rand_ampl - log_p/triangle/train"
"1200","undefined","undefined","undefined","undefined","-1.9550224661827087","-1.7565111756324767","-1.2822304487228393","-1.5117881536483764"
"1210","undefined","undefined","undefined","undefined","-1.9737886428833007","-1.8673461556434632","-1.337655371427536","-1.5977384567260742"
"1220","undefined","undefined","undefined","undefined","-1.8796388983726502","-1.8116544842720033","-1.2249169111251832","-1.503175950050354"
"1230","undefined","undefined","undefined","undefined","-1.9784300565719604","-1.8710779547691345","-1.0570256471633912","-1.5620956778526307"
"1240","undefined","undefined","undefined","undefined","-1.9545205593109132","-1.79058780670166","-1.0878845512866975","-1.569943404197693"
"1250","undefined","undefined","undefined","undefined","-2.017793595790863","-1.8383022785186767","-1.2871936023235322","-1.5444766521453857"
"1260","undefined","undefined","undefined","undefined","-1.894118070602417","-1.8807848572731019","-1.235162216424942","-1.469376313686371"
"1270","undefined","undefined","undefined","undefined","-1.958595633506775","-1.82336767911911","-1.1599339365959167","-1.511500644683838"
"1280","undefined","undefined","undefined","undefined","-1.962654209136963","-1.8097747564315796","-1.3150086641311645","-1.5687915682792664"
"1290","undefined","undefined","undefined","undefined","-1.9681368350982666","-1.8038918495178222","-1.3025918126106262","-1.646574568748474"
"1300","undefined","undefined","undefined","undefined","-1.9716157555580138","-1.8035032987594604","-1.3368641436100006","-1.6865604162216186"
"1310","undefined","undefined","undefined","undefined","-1.960014533996582","-1.869956386089325","-1.5347294211387634","-1.5379009127616883"
"1320","undefined","undefined","undefined","undefined","-1.9380178809165955","-1.9155702352523805","-1.2774948120117187","-1.613267958164215"
"1330","undefined","undefined","undefined","undefined","-1.9707570552825928","-1.9298603057861328","-1.418404573202133","-1.6394506454467774"
"1340","undefined","undefined","undefined","undefined","-1.9730897068977356","-1.8361116647720337","-1.1148199081420898","-1.615447747707367"
"1350","undefined","undefined","undefined","undefined","-2.0102088809013368","-1.9172800302505493","-1.2281512320041656","-1.5597620844841003"
"1360","undefined","undefined","undefined","undefined","-1.9053993821144104","-1.922314703464508","-1.1107312142848969","-1.3573742508888245"
"1370","undefined","undefined","undefined","undefined","-1.9606819152832031","-1.7270826339721679","-1.1298549950122834","-1.5977057814598083"
"1380","undefined","undefined","undefined","undefined","-1.9885841369628907","-1.6833709478378296","-1.4110080480575562","-1.6122326970100402"
"1390","undefined","undefined","undefined","undefined","-1.962948501110077","-1.7707845330238343","-1.4086439549922942","-1.6647325158119202"
"1400","undefined","undefined","undefined","undefined","-1.9864790558815002","-1.7733945727348328","-1.3979312419891357","-1.5959566712379456"
"1410","undefined","undefined","undefined","undefined","-1.9987905144691467","-1.7618049383163452","-1.3420196294784545","-1.411010980606079"
"1420","undefined","undefined","undefined","undefined","-1.976636564731598","-1.6895569562911987","-1.2074315965175628","-1.2479677140712737"
"1430","undefined","undefined","undefined","undefined","-1.9893104076385497","-1.7749115824699402","-0.940082973241806","-1.3911327481269837"
"1440","undefined","undefined","undefined","undefined","-2.0108890771865844","-1.802090096473694","-0.9823867619037628","-1.4486353874206543"
"1450","undefined","undefined","undefined","undefined","-1.9422595977783204","-1.7514084935188294","-1.1115458369255067","-1.5942967891693116"
"1460","undefined","undefined","undefined","undefined","-2.005532515048981","-1.853903865814209","-1.25612673163414","-1.6368092536926269"
"1470","undefined","undefined","undefined","undefined","-2.004396641254425","-1.8302751421928405","-1.0619083285331725","-1.710471510887146"
"1480","undefined","undefined","undefined","undefined","-1.972297990322113","-1.8727793574333191","-1.3661392092704774","-1.7063335180282593"
"1490","undefined","undefined","undefined","undefined","-2.003122162818909","-1.948435413837433","-1.4871271967887878","-1.812896203994751"
"1500","undefined","undefined","undefined","undefined","-1.9813389420509337","-1.9957799911499023","-1.4319198489189149","-1.8307864904403686"
"1510","undefined","undefined","undefined","undefined","-2.0107203483581544","-1.8798945188522338","-1.3108583331108092","-1.7730522274971008"
"1520","undefined","undefined","undefined","undefined","-1.997672963142395","-1.8501717448234558","-1.3930707573890686","-1.630922293663025"
"1530","undefined","undefined","undefined","undefined","-2.034348785877228","-1.7487323522567748","-1.0869261384010316","-1.6978699564933777"
"1540","undefined","undefined","undefined","undefined","-1.9377968311309814","-1.5962700247764587","-1.3010635852813721","-1.634820854663849"
"1550","undefined","undefined","undefined","undefined","-2.05113525390625","-1.7298076391220092","-1.1479075074195861","-1.5722147703170777"
"1560","undefined","undefined","undefined","undefined","-2.0196783781051635","-1.741789710521698","-1.3889169991016388","-1.630144965648651"
"1570","undefined","undefined","undefined","undefined","-1.9760923981666565","-1.8322426199913024","-1.238689023256302","-1.7062445878982544"
"1580","undefined","undefined","undefined","undefined","-2.0086385011672974","-1.785948669910431","-1.3784388303756714","-1.6837258696556092"
"1590","undefined","undefined","undefined","undefined","-1.9742750525474548","-1.9172863125801087","-1.334624969959259","-1.6156395077705383"
"1600","undefined","undefined","undefined","undefined","-2.0085251569747924","-1.9097169995307923","-1.3244673192501069","-1.6190205335617065"
"1610","undefined","undefined","undefined","undefined","-2.0333112597465517","-1.949017059803009","-1.2787853360176087","-1.6959181427955627"
"1620","undefined","undefined","undefined","undefined","-2.0523287415504456","-1.8859701991081237","-1.365798044204712","-1.6711045503616333"
"1630","undefined","undefined","undefined","undefined","-1.996334934234619","-1.9386899590492248","-1.397776758670807","-1.769482684135437"
"1640","undefined","undefined","undefined","undefined","-1.9939010620117188","-1.9303497433662415","-1.5007189869880677","-1.7619385242462158"
"1650","undefined","undefined","undefined","undefined","-2.021125304698944","-1.9209768652915955","-1.5111469149589538","-1.703721249103546"
"1660","undefined","undefined","undefined","undefined","-2.0366108894348143","-1.8890539407730103","-1.3613978803157807","-1.5583028435707091"
"1670","undefined","undefined","undefined","undefined","-1.9364463448524476","-1.9462910771369935","-1.2109687685966493","-1.5826262354850769"
"1680","undefined","undefined","undefined","undefined","-2.0451945662498474","-1.939647364616394","-1.414078676700592","-1.6444593787193298"
"1690","undefined","undefined","undefined","undefined","-2.0564299702644346","-1.9358832478523254","-1.3286096215248109","-1.5056862592697144"
"1700","undefined","undefined","undefined","undefined","-1.9929620623588562","-1.9252210855484009","-1.4863538026809693","-1.6504517197608948"
"1710","undefined","undefined","undefined","undefined","-2.0200036644935606","-1.9525678038597107","-1.4324573874473572","-1.7749158263206481"
"1720","undefined","undefined","undefined","undefined","-2.044728171825409","-1.8728280663490295","-1.3620658278465272","-1.694752609729767"
"1730","undefined","undefined","undefined","undefined","-2.044771134853363","-1.8762607336044312","-1.4280007302761077","-1.6949421286582946"
"1740","undefined","undefined","undefined","undefined","-1.982159399986267","-1.9125780582427978","-1.4388560891151427","-1.763953721523285"
"1750","undefined","undefined","undefined","undefined","-2.023112118244171","-1.9780566334724425","-1.4553807497024536","-1.7500129222869873"
"1760","undefined","undefined","undefined","undefined","-2.0464277863502502","-1.9679975986480713","-1.422045397758484","-1.7688671231269837"
"1770","undefined","undefined","undefined","undefined","-2.053781247138977","-1.91175879240036","-1.3107433915138245","-1.8080082774162292"
